"","bc1097--bc1107-Q40.fastq","bc1097--bc1169-Q40.fastq","bc1103--bc1112-Q40.fastq","bc1103--bc1113-Q40.fastq","bc1103--bc1115-Q40.fastq","bc1104--bc1114-Q40.fastq","bc1104--bc1115-Q40.fastq","bc1105--bc1114-Q40.fastq","bc1107--bc1112-Q40.fastq","bc1107--bc1113-Q40.fastq","bc1107--bc1115-Q40.fastq","bc1108--bc1113-Q40.fastq","bc1108--bc1114-Q40.fastq","bc1111--bc1169-Q40.fastq","bc1111--bc1174-Q40.fastq","bc1113--bc1174-Q40.fastq","bc1114--bc1169-Q40.fastq","w1-105-2.fastq","w1-105-3.fastq","w1-921-1.fastq","w1-921-10.fastq","w1-921-12.fastq","w1-921-13.fastq","w1-921-14.fastq","w1-921-15.fastq","w1-921-2.fastq","w1-921-3.fastq","w1-921-4.fastq","w1-921-6.fastq","w1-921-7.fastq","w1-921-8.fastq","w1-929-1.fastq","w1-929-2.fastq","w1-929-3.fastq","w1-929-4.fastq","w1-929-6.fastq","w2-105-1.fastq","w2-831-1.fastq","w2-831-2.fastq","w2-831-3.fastq","w2-831-4.fastq","w2-921-1.fastq","w2-921-10.fastq","w2-921-11.fastq","w2-921-12.fastq","w2-921-13.fastq","w2-921-14.fastq","w2-921-2.fastq","w2-921-3.fastq","w2-921-4.fastq","w2-921-5.fastq","w2-921-6.fastq","w2-921-8.fastq","w2-921-9.fastq","w2-929-1.fastq","w2-930-1.fastq","w2-97-1.fastq","w2-97-2.fastq","w2-97-3.fastq","w2-97-4.fastq","w2-97-5.fastq","Species","Dallasiellus_lugubris","Sample_presence_Dl"
"1",20,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown",243,"3 (62)"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apium",0,"0 (62)"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Daucus",83,"2 (62)"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ilex",0,"0 (62)"
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Allium",77,"2 (62)"
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,24,0,0,0,15,40,0,0,89,0,0,0,0,0,16,0,0,0,0,0,117,14,0,0,136,0,0,0,0,0,0,"Ambrosia",477,"10 (62)"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cichorium",727,"2 (62)"
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cirsium",408,"2 (62)"
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Crassocephalum",0,"0 (62)"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Symphiotrichum",0,"0 (62)"
