,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus
ASV2,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV3,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV6,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra
ASV7,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea
ASV8,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,NA
ASV12,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus taeda
ASV14,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,Paspalum minus
ASV15,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV16,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV17,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Dichanthelium,NA
ASV18,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,NA
ASV19,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,NA
ASV20,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,Poa annua
ASV21,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV22,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,NA
ASV23,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV24,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,NA
ASV25,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens
ASV26,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,NA
ASV27,Viridiplantae,Streptophyta,Magnoliopsida,Poales,NA,NA,NA
ASV29,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,NA
ASV30,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens
ASV31,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Lollium,NA
ASV32,-,NA,NA,NA,NA,NA,NA
ASV34,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,NA
ASV36,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar,NA
ASV38,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,NA
ASV39,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
ASV40,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV41,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV42,-,NA,NA,NA,NA,NA,NA
ASV43,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus hybrid cultivar
ASV46,-,NA,NA,NA,NA,NA,NA
ASV47,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa,Callicarpa americana
ASV48,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea
ASV49,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV50,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV51,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,Phyllanthus emblica
ASV52,Viridiplantae,Streptophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,Platanus occidentalis
ASV53,-,NA,NA,NA,NA,NA,NA
ASV54,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,NA
ASV55,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
ASV56,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum lycopersicum
ASV57,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
ASV58,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,NA
ASV59,NA,NA,NA,NA,NA,NA,NA
ASV60,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,NA
ASV61,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides
ASV63,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
ASV64,NA,NA,NA,NA,NA,NA,NA
ASV65,NA,NA,NA,NA,NA,NA,NA
ASV66,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV68,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,NA
ASV69,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton tiglium
ASV70,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV71,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV72,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Juncaceae,Juncus,NA
ASV73,-,NA,NA,NA,NA,NA,NA
ASV74,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,NA
ASV75,NA,NA,NA,NA,NA,NA,NA
ASV76,-,NA,NA,NA,NA,NA,NA
ASV77,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV78,-,NA,NA,NA,NA,NA,NA
ASV79,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
ASV80,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV81,-,NA,NA,NA,NA,NA,NA
ASV82,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV83,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV84,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV85,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,NA
ASV86,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,NA
ASV87,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV88,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Jacquemontia,NA
ASV89,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Eromochloa,NA
ASV90,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Cynodon,NA
ASV91,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV92,-,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia americana
ASV93,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV94,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,NA
ASV95,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Eleusine,NA
ASV96,NA,NA,NA,NA,NA,NA,NA
ASV97,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV98,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Indocalamus,NA
ASV99,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Eleusine,NA
ASV100,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV102,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA
ASV103,-,NA,NA,NA,NA,NA,NA
ASV104,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,NA
ASV105,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
