"MikeCrossley-UGA-022421-bc1097--bc1104-Q40.fastq","MikeCrossley-UGA-022421-bc1097--bc1106-Q40.fastq","MikeCrossley-UGA-022421-bc1097--bc1107-Q40.fastq","MikeCrossley-UGA-022421-bc1097--bc1108-Q40.fastq","MikeCrossley-UGA-022421-bc1097--bc1174-Q40.fastq","MikeCrossley-UGA-022421-bc1098--bc1103-Q40.fastq","MikeCrossley-UGA-022421-bc1098--bc1104-Q40.fastq","MikeCrossley-UGA-022421-bc1098--bc1106-Q40.fastq","MikeCrossley-UGA-022421-bc1098--bc1174-Q40.fastq","MikeCrossley-UGA-022421-bc1099--bc1103-Q40.fastq","MikeCrossley-UGA-022421-bc1099--bc1104-Q40.fastq","MikeCrossley-UGA-022421-bc1100--bc1103-Q40.fastq","MikeCrossley-UGA-022421-bc1100--bc1105-Q40.fastq","MikeCrossley-UGA-022421-bc1100--bc1107-Q40.fastq","MikeCrossley-UGA-022421-bc1100--bc1169-Q40.fastq","MikeCrossley-UGA-022421-bc1100--bc1174-Q40.fastq","MikeCrossley-UGA-022421-bc1103--bc1111-Q40.fastq","MikeCrossley-UGA-022421-bc1103--bc1112-Q40.fastq","MikeCrossley-UGA-022421-bc1103--bc1114-Q40.fastq","MikeCrossley-UGA-022421-bc1104--bc1111-Q40.fastq","MikeCrossley-UGA-022421-bc1104--bc1112-Q40.fastq","MikeCrossley-UGA-022421-bc1104--bc1114-Q40.fastq","MikeCrossley-UGA-022421-bc1105--bc1115-Q40.fastq","MikeCrossley-UGA-022421-bc1106--bc1112-Q40.fastq","MikeCrossley-UGA-022421-bc1106--bc1113-Q40.fastq","MikeCrossley-UGA-022421-bc1106--bc1114-Q40.fastq","MikeCrossley-UGA-022421-bc1107--bc1111-Q40.fastq","MikeCrossley-UGA-022421-bc1107--bc1112-Q40.fastq","MikeCrossley-UGA-022421-bc1107--bc1115-Q40.fastq","MikeCrossley-UGA-022421-bc1108--bc1112-Q40.fastq","MikeCrossley-UGA-022421-bc1108--bc1113-Q40.fastq","MikeCrossley-UGA-022421-bc1111--bc1174-Q40.fastq","MikeCrossley-UGA-022421-bc1111--bc1175-Q40.fastq","MikeCrossley-UGA-022421-bc1112--bc1169-Q40.fastq","MikeCrossley-UGA-022421-bc1112--bc1174-Q40.fastq","MikeCrossley-UGA-022421-bc1112--bc1175-Q40.fastq","MikeCrossley-UGA-022421-bc1113--bc1174-Q40.fastq","MikeCrossley-UGA-022421-bc1114--bc1174-Q40.fastq","MikeCrossley-UGA-022421-bc1115--bc1169-Q40.fastq","MikeCrossley-UGA-022421-bc1115--bc1174-Q40.fastq","bc1098--bc1103-Q40.fastq","bc1098--bc1104-Q40.fastq","bc1098--bc1174-Q40.fastq","bc1099--bc1174-Q40.fastq","bc1100--bc1103-Q40.fastq","bc1100--bc1104-Q40.fastq","bc1100--bc1105-Q40.fastq","bc1100--bc1106-Q40.fastq","bc1100--bc1107-Q40.fastq","bc1100--bc1174-Q40.fastq","bc1103--bc1114-Q40.fastq","bc1104--bc1113-Q40.fastq","bc1105--bc1111-Q40.fastq","bc1105--bc1115-Q40.fastq","bc1106--bc1112-Q40.fastq","bc1106--bc1113-Q40.fastq","bc1106--bc1115-Q40.fastq","bc1112--bc1174-Q40.fastq","bc1115--bc1174-Q40.fastq","w1-1012-1.fastq","w2-721-1.fastq","w2-810-1.fastq","Species","Pangaeus_bilineatus","Sample_presence_Pb"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,183,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,"Unknown",289,"4 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,4,0,0,0,48,0,0,0,0,0,170,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apium",394,"6 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Daucus",0,"0 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ilex",22,"2 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,"Allium",20,"3 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ambrosia",0,"0 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cichorium",0,"0 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cirsium",0,"0 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Crassocephalum",0,"0 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,"Symphiotrichum",12,"1 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wahlenbergia",0,"0 (62)"
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brassica",6,"1 (62)"
