"","Species","Pangaeus_bilineatus","Sample_presence_Pb","Dallasiellus_lugubris","Sample_presence_Dl","sum_taxa"
"1","Unknown",289,"5 (63)",243,"3 (62)",532
"2","Apium",394,"7 (63)",0,"0 (62)",394
"3","Daucus",0,"0 (63)",83,"2 (62)",83
"4","Ilex",22,"3 (63)",0,"0 (62)",22
"5","Allium",20,"4 (63)",77,"2 (62)",97
"6","Ambrosia",0,"0 (63)",477,"10 (62)",477
"7","Cichorium",0,"0 (63)",727,"2 (62)",727
"8","Cirsium",0,"0 (63)",408,"2 (62)",408
"9","Symphiotrichum",12,"2 (63)",0,"0 (62)",12
"10","Wahlenbergia",0,"0 (63)",18,"2 (62)",18
"11","Brassica",6,"2 (63)",128,"4 (62)",134
"12","Eruca",0,"0 (63)",46,"2 (62)",46
"13","Raphanus",42501,"11 (63)",138,"2 (62)",42639
"14","Stellaria",10467,"24 (63)",1601,"15 (62)",12068
"15","Mollugo",15,"2 (63)",0,"0 (62)",15
"16","Phytolacca",0,"0 (63)",9,"2 (62)",9
"17","Rumex",0,"0 (63)",28,"2 (62)",28
"18","Sambucus",4301,"2 (63)",0,"0 (62)",4301
"19","Viburnum",0,"0 (63)",13,"2 (62)",13
"20","Arachis",79,"4 (63)",65,"5 (62)",144
"21","Glycine",17,"2 (63)",0,"0 (62)",17
"22","Trifolium",0,"0 (63)",260,"2 (62)",260
"23","Vicia",458,"3 (63)",0,"0 (62)",458
"24","Quercus",0,"0 (63)",359,"4 (62)",359
"25","Carya",0,"0 (63)",414,"12 (62)",414
"26","Juglans",18,"2 (63)",0,"0 (62)",18
"27","Oldenlandia",13,"3 (63)",8,"2 (62)",21
"28","Lamium",8136,"37 (63)",498,"14 (62)",8634
"29","Salvia",5,"2 (63)",0,"0 (62)",5
"30","Scutellaria",0,"0 (63)",67,"2 (62)",67
"31","Fraxinus",0,"0 (63)",147,"2 (62)",147
"32","Sesamum",370,"6 (63)",138,"4 (62)",508
"33","Plantago",0,"0 (63)",108,"2 (62)",108
"34","Glandularia",7,"3 (63)",0,"0 (62)",7
"35","Croton",0,"0 (63)",104,"4 (62)",104
"36","Phyllanthus",0,"0 (63)",170,"6 (62)",170
"37","Populus",4,"2 (63)",161,"2 (62)",165
"38","Abelmoschus",0,"0 (63)",18,"2 (62)",18
"39","Gossypium",2776,"9 (63)",0,"0 (62)",2776
"40","Cyperus",13,"2 (63)",5,"2 (62)",18
"41","Aegilops",0,"0 (63)",5,"2 (62)",5
"42","Avena",146,"2 (63)",0,"0 (62)",146
"43","Cynodon",72,"5 (63)",0,"0 (62)",72
"44","Dichanthelium",3,"2 (63)",348,"5 (62)",351
"45","Digitaria",1147,"5 (63)",497,"5 (62)",1644
"46","Eleusine",126,"2 (63)",0,"0 (62)",126
"47","Eromochloa",0,"0 (63)",73,"2 (62)",73
"48","Indocalamus",21,"2 (63)",82,"3 (62)",103
"49","Lollium",0,"0 (63)",415,"3 (62)",415
"50","Paspalum",864,"3 (63)",844,"8 (62)",1708
"51","Phyllostachys",0,"0 (63)",31,"3 (62)",31
"52","Poa",709,"2 (63)",0,"0 (62)",709
"53","Triticum",73,"5 (63)",447,"19 (62)",520
"54","Urochloa",0,"0 (63)",298,"2 (62)",298
"55","Platanus",0,"0 (63)",168,"3 (62)",168
"56","Prunus",2,"2 (63)",0,"0 (62)",2
"57","Rubus",234,"2 (63)",0,"0 (62)",234
"58","Ulmus",69,"5 (63)",0,"0 (62)",69
"59","Rhus",0,"0 (63)",143,"2 (62)",143
"60","Citrus",782,"7 (63)",133,"3 (62)",915
"61","Acer",41,"2 (63)",26,"2 (62)",67
"62","Liquidambar",17,"2 (63)",324,"7 (62)",341
"63","Ipomoea",7,"2 (63)",0,"0 (62)",7
"64","Jacquemontia",0,"0 (63)",73,"2 (62)",73
"65","Capsicum",0,"0 (63)",76,"2 (62)",76
"66","Solanum",31,"3 (63)",150,"7 (62)",181
"67","Vitis",5,"2 (63)",0,"0 (62)",5
"68","Musa",736,"4 (63)",4,"2 (62)",740
"69","Juniperus",11,"2 (63)",3,"2 (62)",14
"70","Pinus",85,"9 (63)",2432,"12 (62)",2517
